Provinsi,Segmentasi Wilayah,Tahun,Persentase
Papua Tengah,Perkotaan,2020,
Papua Tengah,Perdesaan,2024,19.14
Papua Tengah,Perdesaan,2023,
Papua Tengah,Perdesaan,2022,
Papua Tengah,Perdesaan,2021,
Papua Tengah,Perdesaan,2020,
Papua Pegunungan,Perkotaan,2024,54.5
Papua Pegunungan,Perkotaan,2023,
Papua Pegunungan,Perkotaan,2022,
Papua Pegunungan,Perkotaan,2021,
Papua Pegunungan,Perkotaan,2020,
Papua Pegunungan,Perdesaan,2024,8.81
Papua Pegunungan,Perdesaan,2023,
Papua Pegunungan,Perdesaan,2022,
Papua Pegunungan,Perdesaan,2021,
Papua Pegunungan,Perdesaan,2020,
